,completeness,A1-A1,A1-A2,A1-B,B-A1,B-B,error A1-A2,error A1-B,error B-A1,form_name
54,100.0,17,0,0,0,10,[],[],[],42_01_Mẫu TK04 khôi phục HC TK04 MỚI.txt
55,100.0,19,0,0,0,7,[],[],[],43_01_Mẫu TK05 báo mất HC 05 7 TK05 MỚI.txt
56,100.0,12,0,0,3,13,[],[],"[('#another', 'receiver'), ('#another', 'receiver'), ('#another', 'receiver')]",44_01_Quyet_dinh_viec_nghi_viec_huong_che_do_huu_tri.txt
57,100.0,7,0,0,0,4,[],[],[],45_01_thay_doi_thong_tin_cu_tru.txt
58,100.0,18,0,0,0,10,[],[],[],46_01_thay_doi_thong_tin_cu_tru_nuoc_ngoai.txt
59,100.0,11,0,2,0,7,[],"[('receiver', '#another'), ('user0_id_number', '#another')]",[],47_01_thay_doi_thong_tin_nguoi_huong.txt
60,100.0,10,0,4,0,3,[],"[('user0_birth_registration_place_ward', '#another'), ('user0_birth_registration_place_district', '#another'), ('user0_birth_registration_place_province', '#another'), ('user0_full_name', '#another')]",[],49_01_TK1-TS.txt
61,100.0,18,0,0,0,9,[],[],[],50_01_TKDK_thay_doi_bo_sung_ho_tich_xacdinhlai_dantoc.txt
62,100.0,30,0,1,0,5,[],"[('user0_current_address', '#another')]",[],51_01_TK_cap_ho_chieu_tre_em.txt
63,100.0,25,0,0,0,3,[],[],[],52_01_TK_dang_ky_CMC.txt
64,100.0,29,0,1,0,3,[],"[('user0_id_number', '#another')]",[],53_01_TK_DKLai_viec_nuoi_con_nuoi.txt
65,100.0,27,0,0,0,7,[],[],[],54_01_TK_DK_cham_dut_giam_ho.txt
66,100.0,22,0,0,0,1,[],[],[],55_01_TK_DK_giam_ho.txt
67,100.0,22,0,0,0,1,[],[],[],55_02_TK_DK_giam_ho.txt
68,100.0,17,0,0,1,11,[],[],"[('#another', 'user0_current_address')]",56_01_TK_DK_khai_tu.txt
69,100.0,14,0,0,1,11,[],[],"[('#another', 'user0_current_address')]",56_02_TK_DK_khai_tu.txt
70,100.0,24,0,0,0,3,[],[],[],57_01_TK_DK_nhan_CMC.txt
71,100.0,22,0,0,0,3,[],[],[],57_02_TK_DK_nhan_CMC.txt
72,100.0,2,0,0,0,25,[],[],[],59_01_to_khai_thue_thu_nhap_ca_nhan.txt
73,100.0,15,0,1,0,1,[],"[('user0_id_number', '#another')]",[],60_01_xac_minh_cccd.txt
74,100.0,18,0,1,0,1,[],"[('user0_id_number', '#another')]",[],60_02_xac_minh_cccd.txt
75,100.0,6,0,0,1,20,[],[],"[('#another', 'year')]",61_01_xac_nhan_thu_nhap.txt
76,100.0,14,0,0,0,13,[],[],[],62_01_xet_cap_hoc_bong_chinh_sach.txt
77,100.0,11,0,0,0,5,[],[],[],63_01_xinviec.txt
78,100.0,10,0,1,0,7,[],"[('user0_full_name', '#another')]",[],64_01_ĐN_chi_tra_tien_mien_giam_hoc_phi.txt
79,100.0,11,0,1,0,7,[],"[('user0_full_name', '#another')]",[],64_02_ĐN_chi_tra_tien_mien_giam_hoc_phi.txt
