completeness,A1-A1,A1-A2,A1-B,B-A1,B-B,error A1-A2,error A1-B,error B-A1,form_name
100.0,7,0,0,0,27,[],[],[],00_00_bao_cao_tot_nghiep_du_hoc_sinh.txt
100.0,7,0,0,0,25,[],[],[],00_01_bao_cao_tot_nghiep_du_hoc_sinh.txt
100.0,18,1,0,1,0,"[('user0_current_status', 'user0_occupation')]",[],"[('#another', 'user0_occupation')]",01_00_BCC_thuc_hien_trach_nhiem_du_hoc_sinh.txt
100.0,22,1,0,1,0,"[('user0_current_status', 'user0_occupation')]",[],"[('#another', 'user0_occupation')]",01_01_BCC_thuc_hien_trach_nhiem_du_hoc_sinh.txt
100.0,14,0,0,0,5,[],[],[],02_00_cap_chinh_sach_noi_tru.txt
100.0,11,0,0,0,5,[],[],[],02_01_cap_chinh_sach_noi_tru.txt
100.0,19,0,0,1,22,[],[],"[('#another', 'receiver')]",03_00_cap_chinh_sach_noi_tru_dang_hoc.txt
100.0,17,0,0,1,22,[],[],"[('#another', 'receiver')]",03_01_cap_chinh_sach_noi_tru_dang_hoc.txt
100.0,13,0,0,0,7,[],[],[],06_00_cap_GPLX_quoc_te.txt
100.0,15,0,1,0,7,[],"[('user0_alias_name', '#another')]",[],06_01_cap_GPLX_quoc_te.txt
100.0,8,0,0,0,22,[],[],[],07_00_cap_lai_the_BHYT.txt
100.0,5,0,0,0,23,[],[],[],07_01_cap_lai_the_BHYT.txt
100.0,14,0,0,0,1,[],[],[],08_00_cccd.txt
100.0,15,0,0,0,0,[],[],[],08_01_cccd.txt
100.0,16,0,0,0,1,[],[],[],08_02_cccd.txt
100.0,13,0,0,0,9,[],[],[],09_00_cham_dut_huong_tro_cap_that_nghiep.txt
100.0,12,0,2,0,7,[],"[('receiver', '#another'), ('receiver', '#another')]",[],09_01_cham_dut_huong_tro_cap_that_nghiep.txt
100.0,15,0,0,0,10,[],[],[],10_00_chuyen_noi_huong_tro_cap_that_nghiep.txt
100.0,11,0,1,0,8,[],"[('user0_alias_name', '#another')]",[],10_01_chuyen_noi_huong_tro_cap_that_nghiep.txt
100.0,28,0,0,0,1,[],[],[],11_00_dang_ky_khai_sinh.txt
100.0,27,0,0,0,1,[],[],[],11_01_dang_ky_khai_sinh.txt
100.0,25,0,2,0,1,[],"[('user0_dob_month', '#another'), ('user0_dob_year', '#another')]",[],11_02_dang_ky_khai_sinh.txt
100.0,27,0,0,0,1,[],[],[],11_03_dang_ky_khai_sinh.txt
100.0,7,0,4,0,11,[],"[('place', '#another'), ('day', '#another'), ('month', '#another'), ('year', '#another')]",[],12_00_DDN_cap_doi_GPLX.txt
100.0,11,0,4,0,11,[],"[('place', '#another'), ('day', '#another'), ('month', '#another'), ('year', '#another')]",[],12_01_DDN_cap_doi_GPLX.txt
100.0,7,0,0,0,20,[],[],[],13_00_DDN_gia_han_time_hoc_nuoc_ngoai.txt
100.0,7,0,0,0,18,[],[],[],13_01_DDN_gia_han_time_hoc_nuoc_ngoai.txt
100.0,12,0,8,0,11,[],"[('user0_full_name', '#another'), ('user0_dob_day', '#another'), ('user0_dob_month', '#another'), ('user0_dob_year', '#another'), ('user0_gender', '#another'), ('user0_ethnicity', '#another'), ('user0_permanent_address', '#another'), ('user0_full_name', '#another')]",[],14_00_DDN_ho_tro_chi_phi_mai_tang.txt
100.0,12,0,8,0,11,[],"[('user0_full_name', '#another'), ('user0_dob', '#another'), ('user0_gender', '#another'), ('user0_ethnicity', '#another'), ('user0_permanent_address', '#another'), ('user0_full_name', '#another'), ('user0_dob_month', '#another'), ('user0_dob_year', '#another')]",[],14_01_DDN_ho_tro_chi_phi_mai_tang.txt
